DATE,TEAM,NAME,POSITION,CASE,CATEGORY,DESCRIPTION,OUTCOME
2/25/17,IND,David Parry,DT,Arrested,"DUI, resisting arrest","Suspected of stealing golf cart, driving drunk, resisting arrest in Scottsdale, Ariz.",Resolution undetermined.
12/17/16,SEA,Damontre Moore,DE,Arrested,DUI,"Suspected of driving while intoxicated in King County, Washington.",Resolution undetermined.
12/12/16,ARI,Michael Floyd,WR,Arrested,DUI,"Found unconscious in idle car in Scottsdale, charged with drunken driving.","Pleaded guilty to extreme DUI, 24 days in jail, 96 in home detention, 30 hours community service."
11/19/16,LAR,Troy Hill,CB,Arrested,DUI,Suspected of drunken driving after crashing into a big rig on the freeway.,Resolution undetermined.
11/1/16,PHI,Josh Huff,WR,Arrested,"DUI, drugs, gun","Pulled over and accused of drunken driving, marijuana possession and having an unloaded gun without a permit.",Resolution undetermined. Team released him later that week.
10/12/16,MIN,Isame Faciane,OG,Arrested,DUI,Charged with drunken driving after being pulled over for driving around barricades.,Resolution undetermined. Team released him later that week.
9/26/16,CLE,Alvin Bailey,OG,Arrested,DUI,Accused of operating a vehicle under the influence of alcohol and having drug paraphernalia in his car after returning from game in Miami.,"Pleaded no contest, found guilty, three-day intervention program. NFL suspended him two games."
9/16/16,TB,Austin Seferian-Jenkins,TE,Arrested,DUI,"Pulled over for speeding and driving erratically, accused of drunken driving in Tampa.","Pleaded no contest to reduced charge, one-year probation, 50 hours community service. Team released him same day."
7/14/16,BUF,Jonathan Williams,RB,Arrested,DUI,"Accused of driving while intoxicated in Fayetteville, Ark.",Resolution undetermined.
5/10/16,LAR,T.J. McDonald,S,Arrested,DUI,Suspected of hitting a parked car and driving under the influence of a substance other than alcohol.,"Pleaded guilty to misdemeanor, 200 hours community service, three years probation, alcohol program."
2/13/16,DEN,Shiloh Keo,S,Arrested,DUI,"Accused of drunken driving in Ada County, Idaho.","Pleaded guilty to misdemeanor, one year probation, community service, fined nearly $1,000."
12/25/15,CLE,De'Ante Saunders,S,Arrested,DUI,"Pulled over for speeding, cited for driving drunk. Gun found in car without permit.",Resolution undetermined. Team released him three days after arrest.
12/19/15,JAC,Justin Blackmon,LB,Arrested,DUI,"Accused of drunken driving in Carter County, Okla. Blackmon already was serving an indefinite NFL suspension at the time of his arrest.",Resolution undetermined.
8/6/15,SF,Aldon Smith,LB,Arrested,DUI,"Accused of hitting a parked vehicle with his vehicle, being under the influence of alcohol and vandalism in Santa Clara, Calif.",Resolution undetermined. Released by team the next day.
3/18/15,BAL,Bernard Pierce,RB,Arrested,DUI,Failed sobriety tests after his 2014 Ford Mustang was pulled over for speeding in Baltimore County.,Resolution undetermined. Team released him same day.
3/1/15,BAL,Victor Hampton,CB,Arrested,DUI,"Pulled over in Charlotte, accused of driving while impaired and driving 100 mph in a 55-mph zone.",Resolution undetermined. Team cut him the next day.
1/31/15,ARI,Bobby Massie,OT,Arrested,DUI,"Suspected of drunken driving in Arizona, he flunked two sobriety tests and had a blood-alcohol content of 0.14 percent.",Resolution undetermined. NFL suspended three games.
1/23/15,IND,Andrew Jackson,LB,Arrested,DUI,"Pulled over in Bowling Green, Ky., accused of drunk driving, blood-alcohol content of .088.","Pleaded guilty, 14 days of home confinement, fines and $1,000 in court costs, alcohol treatment program."
1/7/15,CHI,Tim Jennings,CB,Arrested,DUI,Pulled over for allegedly driving 99 mph in 65-mph zone in Georgia. Accused of drunken and reckless driving.,"Pleaded guilty to reckless driving, one year of probation, 40 hours community service, $1,050 in fines."
12/29/14,MIN,Jabari Price,CB,Arrested,DUI,"Pulled over for speeding, accused of misdemeanor drunken driving.","Pleaded guilty to careless driving, 30 days home detention, one year probation, $300 fine."
9/29/14,IND,Da'Rick Rogers,WR,Arrested,DUI,"Pulled over for swerving in Indianapolis, suspected of drunken driving.",Resolution undetermined. Team cut him later that day.
8/23/14,BUF,Alan Branch,DT,Arrested,DUI,"Accused of drunken driving, blood-alcohol content of 0.14, after police say they noticed him vomiting out of car door.","Pleaded guilty, $900 in fines and costs, six-month ignition interlock device required. Team released him the next day."
7/5/14,CLE,Josh Gordon,WR,Arrested,DUI,"Accused of driving while impaired after being pulled over for speeding in Raleigh, N.C.","Pleaded guilty, 60-day suspended sentence, $390 in fines and costs. NFL suspended for season, then reduced to 10 games."
6/29/14,ARI,John Abraham,LB,Arrested,DUI,Accused of drunken driving after an officer found him passed out behind the wheel of his car outside Atlanta.,Resolution undetermined.
6/24/14,IND,Andrew Jackson,LB,Charged,DUI,"Accused of drunk driving and speeding in Muncie, Ind.",Diversion program with 40 hours of community service and treatment program.
